"status","spc_latin","spc_common","boroname","latitude","longitude"
"Alive","Gleditsia triacanthos var. inermis","honeylocust","Bronx","40.84676601","-73.91571303"
"Alive","Ulmus parvifolia","Chinese elm","Bronx","40.84630175","-73.91814712"
"Alive","Tilia cordata","littleleaf linden","Bronx","40.84974912","-73.89144564"
"Alive","Gleditsia triacanthos var. inermis","honeylocust","Bronx","40.84571555","-73.91929931"
"Alive","Gleditsia triacanthos var. inermis","honeylocust","Bronx","40.90217635","-73.84421442"
"Alive","Tilia cordata","littleleaf linden","Bronx","40.84924191","-73.89589276"
"Alive","Platanus x acerifolia","London planetree","Bronx","40.84831527","-73.88711622"
"Alive","Zelkova serrata","Japanese zelkova","Bronx","40.84645935","-73.91705157"
"Alive","Quercus rubra","northern red oak","Bronx","40.8533672","-73.89172103"
"Alive","Quercus rubra","northern red oak","Bronx","40.85362943","-73.89147692"
"Alive","Gymnocladus dioicus","Kentucky coffeetree","Bronx","40.85819881","-73.89918807"
"Alive","Gymnocladus dioicus","Kentucky coffeetree","Bronx","40.85454767","-73.88980628"
"Alive","Tilia americana","American linden","Bronx","40.85033934","-73.8919492"
"Alive","Prunus","cherry","Bronx","40.85119623","-73.90141792"
"Alive","Acer saccharinum","silver maple","Bronx","40.88741219","-73.9103533"
"Alive","Acer saccharinum","silver maple","Bronx","40.85840533","-73.90163917"
"Alive","Quercus rubra","northern red oak","Bronx","40.85379753","-73.89132043"
"Alive","Quercus palustris","pin oak","Bronx","40.85320856","-73.89769242"
"Alive","Acer rubrum","red maple","Bronx","40.83931613","-73.86654205"
